Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:25:25.762],3.59,21.53,2.70,58.19,708
[00:25:26.363],3.58,21.47,3.39,72.71,708
[00:25:26.769],3.60,21.60,2.10,45.33,708
[00:25:27.174],3.57,21.44,3.62,77.67,709
[00:25:27.579],3.59,21.57,2.37,51.03,709
[00:25:27.983],3.58,21.51,2.95,63.52,709
[00:25:28.179],3.58,21.51,3.50,63.52,710
[00:25:28.382],3.59,21.56,2.44,52.64,710
[00:25:28.787],3.58,21.50,3.07,65.90,710
[00:25:28.991],3.57,21.43,3.65,78.31,710
[00:25:29.597],3.58,21.50,2.97,63.90,711
[00:25:30.604],3.57,21.43,3.63,77.86,712
[00:25:31.595],3.57,21.42,3.63,77.82,713
[00:25:32.633],3.57,21.44,3.46,74.09,714
[00:25:33.686],3.57,21.44,3.39,72.62,715
[00:25:34.748],3.57,21.44,3.42,73.23,716
[00:25:35.820],3.57,21.44,3.34,71.57,717
[00:25:36.886],3.57,21.44,3.32,71.17,718
[00:25:37.992],3.57,21.44,3.27,70.06,719
[00:25:38.075],3.58,21.50,2.69,57.74,719
[00:25:38.676],3.58,21.47,3.35,65.40,719
[00:25:39.856],3.58,21.46,3.17,67.90,720
[00:25:39.891],3.59,21.52,2.59,55.64,720
[00:25:40.094],3.58,21.46,3.19,68.34,720
[00:25:40.291],3.58,21.46,2.37,68.34,721
[00:25:40.494],3.57,21.43,3.46,74.16,721
[00:25:40.697],3.59,21.53,2.42,52.19,721
[00:25:40.900],3.57,21.44,3.37,72.29,721
[00:25:41.103],3.59,21.55,2.21,47.64,721
[00:25:41.305],3.57,21.42,3.54,75.71,721
[00:25:41.502],3.57,21.42,2.45,75.71,722
[00:25:41.705],3.59,21.53,3.14,67.45,722
[00:25:42.513],3.56,21.38,3.88,83.04,723
[00:25:42.714],3.58,21.47,3.00,64.41,723
[00:25:42.916],3.60,21.58,1.91,41.26,723
